Harvest_year,Company,Tobacco_Type,Class,R$_Kg
2021_2022,BAT,Burley,B 1,13.85
2021_2022,BAT,Burley,B 1 L,12.47
2021_2022,BAT,Burley,B 2,11.80
2021_2022,BAT,Burley,B 2 L,10.41
2021_2022,BAT,Burley,B 3,9.38
2021_2022,BAT,Burley,B 3 L,7.79
2021_2022,BAT,Burley,B K,6.71
2021_2022,BAT,Burley,C 1,13.52
2021_2022,BAT,Burley,C 1 L,12.35
2021_2022,BAT,Burley,C 2,11.76
2021_2022,BAT,Burley,C 2 L,10.41
2021_2022,BAT,Burley,C 3,9.12
2021_2022,BAT,Burley,C 3 L,7.52
2021_2022,BAT,Burley,C K,6.71
2021_2022,BAT,Burley,X 1,12.47
2021_2022,BAT,Burley,X 1 L,11.96
2021_2022,BAT,Burley,X 2,10.63
2021_2022,BAT,Burley,X 2 L,9.93
2021_2022,BAT,Burley,X 3,8.30
2021_2022,BAT,Burley,X 3 L,7.52
2021_2022,BAT,Burley,X K,6.02
2021_2022,BAT,Burley,N,2.42
2021_2022,BAT,Burley,G,1.03
2021_2022,China Brasil Tabacos,Virginia,T O 1,14.69
2021_2022,China Brasil Tabacos,Virginia,T O 2,12.41
2021_2022,China Brasil Tabacos,Virginia,T O 3,10.37
2021_2022,China Brasil Tabacos,Virginia,T R 1,11.36
2021_2022,China Brasil Tabacos,Virginia,T R 2,7.80
2021_2022,China Brasil Tabacos,Virginia,T R 3,4.31
2021_2022,China Brasil Tabacos,Virginia,T L 1,9.30
2021_2022,China Brasil Tabacos,Virginia,T L 2,7.21
2021_2022,China Brasil Tabacos,Virginia,T K,5.22
2021_2022,China Brasil Tabacos,Virginia,B O 1,15.44
2021_2022,China Brasil Tabacos,Virginia,B O 2,13.36
2021_2022,China Brasil Tabacos,Virginia,B O 3,10.60
2021_2022,China Brasil Tabacos,Virginia,B R 1,11.93
2021_2022,China Brasil Tabacos,Virginia,B R 2,8.76
2021_2022,China Brasil Tabacos,Virginia,B R 3,5.54
2021_2022,China Brasil Tabacos,Virginia,B L 1,11.31
2021_2022,China Brasil Tabacos,Virginia,B L 2,9.17
2021_2022,China Brasil Tabacos,Virginia,B K,6.69
2021_2022,China Brasil Tabacos,Virginia,C O 1,13.97
2021_2022,China Brasil Tabacos,Virginia,C O 2,12.04
2021_2022,China Brasil Tabacos,Virginia,C O 3,9.65
2021_2022,China Brasil Tabacos,Virginia,C R 1,9.55
2021_2022,China Brasil Tabacos,Virginia,C R 2,6.80
2021_2022,China Brasil Tabacos,Virginia,C R 3,4.30
2021_2022,China Brasil Tabacos,Virginia,C L 1,10.61
2021_2022,China Brasil Tabacos,Virginia,C L 2,8.58
2021_2022,China Brasil Tabacos,Virginia,C K,5.32
2021_2022,China Brasil Tabacos,Virginia,X O 1,11.78
2021_2022,China Brasil Tabacos,Virginia,X O 2,9.89
2021_2022,China Brasil Tabacos,Virginia,X O 3,8.10
2021_2022,China Brasil Tabacos,Virginia,X R 1,8.83
2021_2022,China Brasil Tabacos,Virginia,X R 2,5.47
2021_2022,China Brasil Tabacos,Virginia,X R 3,3.22
2021_2022,China Brasil Tabacos,Virginia,X L 1,9.40
2021_2022,China Brasil Tabacos,Virginia,X L 2,7.63
2021_2022,China Brasil Tabacos,Virginia,X K,3.92
2021_2022,China Brasil Tabacos,Virginia,G 2,5.09
2021_2022,China Brasil Tabacos,Virginia,G 3,1.33
2021_2022,China Brasil Tabacos,Virginia,N,3.36
2021_2022,China Brasil Tabacos,Virginia,S C,1.33
2021_2022,China Brasil Tabacos,Virginia,S T,0.81
2021_2022,Philip Morris,Virginia,T O 1,15.23
2021_2022,Philip Morris,Virginia,T O 2,13.00
2021_2022,Philip Morris,Virginia,T O 3,10.85
2021_2022,Philip Morris,Virginia,T R 1,12.73
2021_2022,Philip Morris,Virginia,T R 2,8.15
2021_2022,Philip Morris,Virginia,T R 3,4.65
2021_2022,Philip Morris,Virginia,T L 1,9.28
2021_2022,Philip Morris,Virginia,T L 2,7.15
2021_2022,Philip Morris,Virginia,T K,5.69
2021_2022,Philip Morris,Virginia,B O 1,16.00
2021_2022,Philip Morris,Virginia,B O 2,13.97
2021_2022,Philip Morris,Virginia,B O 3,11.15
2021_2022,Philip Morris,Virginia,B R 1,13.06
2021_2022,Philip Morris,Virginia,B R 2,9.35
2021_2022,Philip Morris,Virginia,B R 3,6.08
2021_2022,Philip Morris,Virginia,B L 1,11.50
2021_2022,Philip Morris,Virginia,B L 2,9.30
2021_2022,Philip Morris,Virginia,B K,7.48
2021_2022,Philip Morris,Virginia,C O 1,15.08
2021_2022,Philip Morris,Virginia,C O 2,12.84
2021_2022,Philip Morris,Virginia,C O 3,10.14
2021_2022,Philip Morris,Virginia,C R 1,10.60
2021_2022,Philip Morris,Virginia,C R 2,7.23
2021_2022,Philip Morris,Virginia,C R 3,4.50
2021_2022,Philip Morris,Virginia,C L 1,10.84
2021_2022,Philip Morris,Virginia,C L 2,8.69
2021_2022,Philip Morris,Virginia,C K,5.46
2021_2022,Philip Morris,Virginia,X O 1,13.25
2021_2022,Philip Morris,Virginia,X O 2,10.92
2021_2022,Philip Morris,Virginia,X O 3,8.66
2021_2022,Philip Morris,Virginia,X R 1,9.94
2021_2022,Philip Morris,Virginia,X R 2,5.83
2021_2022,Philip Morris,Virginia,X R 3,3.36
2021_2022,Philip Morris,Virginia,X L 1,9.52
2021_2022,Philip Morris,Virginia,X L 2,7.93
2021_2022,Philip Morris,Virginia,X K,4.00
2021_2022,Philip Morris,Virginia,G 2,5.40
2021_2022,Philip Morris,Virginia,G 3,1.40
2021_2022,Philip Morris,Virginia,N,3.46
2021_2022,Philip Morris,Virginia,S C,1.40
2021_2022,Philip Morris,Virginia,S T,0.86
2021_2022,Alliance One,Virginia,T O 1,14.69
2021_2022,Alliance One,Virginia,T O 2,12.09
2021_2022,Alliance One,Virginia,T O 3,10.03
2021_2022,Alliance One,Virginia,T R 1,11.19
2021_2022,Alliance One,Virginia,T R 2,7.64
2021_2022,Alliance One,Virginia,T R 3,4.22
2021_2022,Alliance One,Virginia,T L 1,9.14
2021_2022,Alliance One,Virginia,T L 2,7.08
2021_2022,Alliance One,Virginia,T K,5.12
2021_2022,Alliance One,Virginia,B O 1,15.44
2021_2022,Alliance One,Virginia,B O 2,13.01
2021_2022,Alliance One,Virginia,B O 3,10.26
2021_2022,Alliance One,Virginia,B R 1,11.76
2021_2022,Alliance One,Virginia,B R 2,8.58
2021_2022,Alliance One,Virginia,B R 3,5.43
2021_2022,Alliance One,Virginia,B L 1,11.10
2021_2022,Alliance One,Virginia,B L 2,9.02
2021_2022,Alliance One,Virginia,B K,6.56
2021_2022,Alliance One,Virginia,C O 1,13.56
2021_2022,Alliance One,Virginia,C O 2,11.79
2021_2022,Alliance One,Virginia,C O 3,9.34
2021_2022,Alliance One,Virginia,C R 1,9.37
2021_2022,Alliance One,Virginia,C R 2,6.56
2021_2022,Alliance One,Virginia,C R 3,4.21
2021_2022,Alliance One,Virginia,C L 1,10.19
2021_2022,Alliance One,Virginia,C L 2,8.25
2021_2022,Alliance One,Virginia,C K,5.24
2021_2022,Alliance One,Virginia,X O 1,11.79
2021_2022,Alliance One,Virginia,X O 2,9.92
2021_2022,Alliance One,Virginia,X O 3,7.97
2021_2022,Alliance One,Virginia,X R 1,8.67
2021_2022,Alliance One,Virginia,X R 2,5.36
2021_2022,Alliance One,Virginia,X R 3,3.15
2021_2022,Alliance One,Virginia,X L 1,9.03
2021_2022,Alliance One,Virginia,X L 2,7.32
2021_2022,Alliance One,Virginia,X K,3.85
2021_2022,Alliance One,Virginia,G 2,5.01
2021_2022,Alliance One,Virginia,G 3,1.30
2021_2022,Alliance One,Virginia,N,3.30
2021_2022,Alliance One,Virginia,S C,1.30
2021_2022,Alliance One,Virginia,S T,0.78
2021_2022,Alliance One,Burley,T 1,12.39
2021_2022,Alliance One,Burley,T 1 L,10.78
2021_2022,Alliance One,Burley,T 2,10.68
2021_2022,Alliance One,Burley,T 2 L,8.22
2021_2022,Alliance One,Burley,T 3,7.37
2021_2022,Alliance One,Burley,T 3 L,6.47
2021_2022,Alliance One,Burley,T K,4.75
2021_2022,Alliance One,Burley,B 1,13.40
2021_2022,Alliance One,Burley,B 1 L,11.17
2021_2022,Alliance One,Burley,B 2,10.80
2021_2022,Alliance One,Burley,B 2 L,9.23
2021_2022,Alliance One,Burley,B 3,8.32
2021_2022,Alliance One,Burley,B 3 L,6.91
2021_2022,Alliance One,Burley,B K,5.96
2021_2022,Alliance One,Burley,C 1,12.59
2021_2022,Alliance One,Burley,C 1 L,11.08
2021_2022,Alliance One,Burley,C 2,10.75
2021_2022,Alliance One,Burley,C 2 L,9.23
2021_2022,Alliance One,Burley,C 3,8.11
2021_2022,Alliance One,Burley,C 3 L,6.68
2021_2022,Alliance One,Burley,C K,5.96
2021_2022,Alliance One,Burley,X 1,11.51
2021_2022,Alliance One,Burley,X 1 L,10.71
2021_2022,Alliance One,Burley,X 2,9.53
2021_2022,Alliance One,Burley,X 2 L,8.82
2021_2022,Alliance One,Burley,X 3,7.37
2021_2022,Alliance One,Burley,X 3 L,6.68
2021_2022,Alliance One,Burley,X K,5.34
2021_2022,Alliance One,Burley,N,2.16
2021_2022,Alliance One,Burley,G,0.91
2021_2022,Universal Leaf Tabacos,Virginia,T O 1,14.53
2021_2022,Universal Leaf Tabacos,Virginia,T O 2,12.02
2021_2022,Universal Leaf Tabacos,Virginia,T O 3,10.20
2021_2022,Universal Leaf Tabacos,Virginia,T R 1,11.36
2021_2022,Universal Leaf Tabacos,Virginia,T R 2,7.60
2021_2022,Universal Leaf Tabacos,Virginia,T R 3,4.42
2021_2022,Universal Leaf Tabacos,Virginia,T L 1,8.99
2021_2022,Universal Leaf Tabacos,Virginia,T L 2,6.98
2021_2022,Universal Leaf Tabacos,Virginia,T K,5.44
2021_2022,Universal Leaf Tabacos,Virginia,B O 1,15.46
2021_2022,Universal Leaf Tabacos,Virginia,B O 2,12.95
2021_2022,Universal Leaf Tabacos,Virginia,B O 3,10.43
2021_2022,Universal Leaf Tabacos,Virginia,B R 1,11.93
2021_2022,Universal Leaf Tabacos,Virginia,B R 2,8.55
2021_2022,Universal Leaf Tabacos,Virginia,B R 3,5.71
2021_2022,Universal Leaf Tabacos,Virginia,B L 1,11.05
2021_2022,Universal Leaf Tabacos,Virginia,B L 2,8.94
2021_2022,Universal Leaf Tabacos,Virginia,B K,7.17
2021_2022,Universal Leaf Tabacos,Virginia,C O 1,13.97
2021_2022,Universal Leaf Tabacos,Virginia,C O 2,11.73
2021_2022,Universal Leaf Tabacos,Virginia,C O 3,9.47
2021_2022,Universal Leaf Tabacos,Virginia,C R 1,9.55
2021_2022,Universal Leaf Tabacos,Virginia,C R 2,6.67
2021_2022,Universal Leaf Tabacos,Virginia,C R 3,4.30
2021_2022,Universal Leaf Tabacos,Virginia,C L 1,9.84
2021_2022,Universal Leaf Tabacos,Virginia,C L 2,7.96
2021_2022,Universal Leaf Tabacos,Virginia,C K,5.32
2021_2022,Universal Leaf Tabacos,Virginia,X O 1,11.78
2021_2022,Universal Leaf Tabacos,Virginia,X O 2,9.86
2021_2022,Universal Leaf Tabacos,Virginia,X O 3,8.09
2021_2022,Universal Leaf Tabacos,Virginia,X R 1,8.83
2021_2022,Universal Leaf Tabacos,Virginia,X R 2,5.43
2021_2022,Universal Leaf Tabacos,Virginia,X R 3,3.20
2021_2022,Universal Leaf Tabacos,Virginia,X L 1,8.70
2021_2022,Universal Leaf Tabacos,Virginia,X L 2,7.07
2021_2022,Universal Leaf Tabacos,Virginia,X K,3.91
2021_2022,Universal Leaf Tabacos,Virginia,G 2,5.08
2021_2022,Universal Leaf Tabacos,Virginia,G 3,1.32
2021_2022,Universal Leaf Tabacos,Virginia,N,3.34
2021_2022,Universal Leaf Tabacos,Virginia,S C,1.32
2021_2022,Universal Leaf Tabacos,Virginia,S T,0.81
2021_2022,Universal Leaf Tabacos,Burley,T 1,11.92
2021_2022,Universal Leaf Tabacos,Burley,T 1 L,10.78
2021_2022,Universal Leaf Tabacos,Burley,T 2,10.48
2021_2022,Universal Leaf Tabacos,Burley,T 2 L,8.32
2021_2022,Universal Leaf Tabacos,Burley,T 3,7.44
2021_2022,Universal Leaf Tabacos,Burley,T 3 L,6.53
2021_2022,Universal Leaf Tabacos,Burley,T K,4.80
2021_2022,Universal Leaf Tabacos,Burley,B 1,13.46
2021_2022,Universal Leaf Tabacos,Burley,B 1 L,11.17
2021_2022,Universal Leaf Tabacos,Burley,B 2,10.60
2021_2022,Universal Leaf Tabacos,Burley,B 2 L,9.32
2021_2022,Universal Leaf Tabacos,Burley,B 3,8.40
2021_2022,Universal Leaf Tabacos,Burley,B 3 L,6.97
2021_2022,Universal Leaf Tabacos,Burley,B K,6.02
